sn,date_posted,job_title,industry,state,state_name,resume_href,id,emp_type,availability,desired_wage,work_auth,job_level,will_travel,edu_level,will_reloc,objective,exp,edu,skills,add_info
194,6/3/2014,accounts payable,Accounting,MD,Maryland,/job/view-resume-72634.html,72634,Full-Time Permanent,Immediately,50000,Yes,"Management (Manager, Director)",,College,Yes,"Focused, customer-centric, and seasoned professional, pursuing a challenging financial and administrative role to fully utilize comprehensive background in general administration, finance, and accounting.-	Recognized for integrity, unparalleled work ethic, and commitment to perform all tasks and functions beyond established goals and expectations-	Known for dynamic team player attitude, capable of performing with high-caliber teams of professionals-	Armed with analytical problem-solving proficiency, well-versed in formulating strategic solutions to complex business situations-	Equipped with articulate verbal and written communication skills, with a naturally personable attitude to establish intuitive connections with professionals of all levels of business","PROFESSIONAL EXPERIENCEAnybill Financial Services - Washington, DCTax and Accounts Payable Supervisor | Treasury Assistant	2011–Present-	Maintain active involvement in various human resource functions, including recruitment, hiring, termination, and personnel performance evaluation -	Communicate with clients to settle funding of payments not received on due date-	Generate and submit accurate weekly and monthly data files for the client accounting system; as well as month-end reports to keep executives informed of the staff productivity and work quality-	Provide guidance and direction in training new hires to strengthen their knowledge and skills in performing daily functions-	Strategically administer the two oldest and largest accounts payable and tax accounts; as well as the projects of the Accounts Payable Department to ascertain that all project deadlines are met-	Utilize iEmployee software to efficiently manage and track schedule and attendance of the Accounts Payable Department personnel-	Meticulously handle vendor master files to avoid duplicate entries-	Oversee corporate ACH return process, as well as all tickets sent to the accounts payable ticketing system-	Direct the operations of the data entry personnel to minimize invoice errors and manage trust rate-	Provide exceptional customer service to more than 300 accounts payable clients and partners, including management of direct deposit forms, update of remittance information, information tracking of ACH payments, and reconciliation of client accounts with Anybill for possible issues-	Assess email correspondences and phone recordings to ascertain the quality of work of the Accounts Payable Department-	Showcase experience in issuing wires for both international and domestic accounts, as well as in buying foreign currency to issue international wires-	Earn distinction as the employee of the month for Month in 2013Marriott Employees Federal Credit Union - Bethesda, MDMember Services Representative III	2009–2011-	Responded to phone inquiries, including call transfers to relevant department, while observing corporate-established standards-	Took charge of reconciling daily transactions and organizing daily production reports-	Assumed responsibility in managing FedEx shipping, receiving, and tracking; as well as in distributing both incoming and outgoing correspondences-	Processed loan applications and credit reports; provided ATM replacement cards and PINs for members-	Exhibited keen expertise in managing stop payments, address changes, payroll allocations, domestic and international wire transfers, account file maintenance, inter-account transfers, loan payments, check withdrawals, and cash advances-	Expertly managed ticket requests through the Member Relation Plus software-	Delivered swift and quality service in processing routine transactions, resetting passwords and usernames for online banking, responding to helpdesk inquiries through instant messaging, and resolving consumer loan inquiries-	Marked and restricted accounts identified with delinquent loan activity-	Educated members with Marriott Employees Federal Credit Union products and services and cross-sold products in line with individual member’s needs and interests-	Received the Distinguished Service Award in 2009 and 2010SunTrust Bank - California, MDTeller II	2008–2009-	Seamlessly processed payments for all loan products, deposits and withdrawals for savings, and retail and commercial deposits; checked cash amounts, signatures, and endorsements-	Provided assistance to the reporting manager on various duties, including development of policies and procedures and facilitation of training sessions for new and existing employees-	Processed the encashment of checks and paying out money after careful verification of signatures, amounts, and remaining account balance-	Made impactful contributions to the productivity of the branch in support of corporate sales goals-	Examined and resolved transaction errors due to unbalanced debits and credits-	Released personal money orders, cashier’s checks, traveler’s checks, and savings bond-	Received, ordered, issued, and verified cash from Brinks; made change orders for local merchants-	Ascertained all business transactions operate in compliance with all policies and the SunTrust code of conduct, including verification of customer identification prior to admission to safe deposit boxesNational Board for Certification and Occupational Therapy - Gaithersburg, MDFinance Assistant	2004–2005-	Responded to all inbound accounting calls; interfaced with applicants to resolve all check and credit card issues-	Managed cash receipts, credit card, and check payments using accurate account codes -	Designed labels and organized AlP, exam application, and required documents-	Reconciled accounts payable, collection, and accounts receivable documents-	Assumed responsibility in organizing documents for auditing all accounts payable","EDUCATION AND CREDENTIALSGeneral Studies, 2012	MONTGOMERY COLLEGE - ROCKVILLE, MDAccredited Payable Manager Certified (2013)",AREAS OF EXPERTISETax and Accounts Payable ~ Personnel Management and Development ~ Treasury ManagementAdministrative and Clerical Functions ~ Client Relations and Customer Service ~ Accounting and Finance,TECHNICAL ACUMENMicrosoft Windows XP ~ Microsoft Office Suite ~ Microsoft Access ~ Internet Explorer ~ Touché Live ~ OnBase ~ TelnetFinancial Services Platform (FSP) ~ ProCenter Agent Telephone ~ Member Relationship Plus Ticket SystemSalesForce Ticketing System ~ iEmployee Time Tracking ~ 70 words per minute typing speed
195,5/28/2014,accounts payable/accounts receivable,Accounting,CT,Connecticut,/job/view-resume-72581.html,72581,Full-Time Permanent,"June 2, 2014",TBD,Yes,Experienced with over 2 years experience,"Yes, Less Than 25%",College,Yes,Extensive experienced Accounts Payable Specialist. Excellent customer service skills with the ability to handle complex client inquiries. Adept at managing vendor relationships to ensure timely payments.,"Audited and processed invoices, travel and expense reports, wire transfers, check runs and petty cash into Oracle and Citirx Multi-View System. Handled client inquiries and check runs.","Monroe CollegeAdult Education - Excel, Word","Excel, Word, On-Base Imaging",
196,5/27/2014,accountant,Accounting,MA,Massachusetts,/job/view-resume-72578.html,72578,Full-Time Permanent,Immediately,65000,Yes,"Management (Manager, Director)",,Bachelors,No,"Highly analytical and detail-oriented professional, offering comprehensive knowledge in accounting, taxation, financial planning, management, and client relations; interested in obtaining a challenging position that would effectively utilize acquired experience and expertise to achieve career advancement.-	Expert at providing financial information to management--through research and evaluation of accounting data and reports preparation.-	Armed with the proven ability to independently assess operational effectiveness of controls and procedures, and provide recommendations on leading practices to ensure compliance with established policies, procedures, laws and regulations.-	Equipped with high-caliber management qualifications, with the ability to organize and handle multiple priorities regarding various work coordination processes.-	Proficient with Microsoft Office Suite (Word, Excel, Outlook, and PowerPoint), Access, Windows XP/7/8, and Visual Basic, with working knowledge of Peachtree and QuickBooks accounting. ","RELEVANT EXPERIENCETOWN OF VAN BUREN - Van Buren, MEIndependent Contractor	2014 Assessors’ Agent	2012–2013   -	Effectively performed diverse routines and complex technical, field, and office work for appraisal of commercial, residential, and personal property.-	Developed a keen eye for detail in evaluating the suitability of the depreciation schedules.-	Prepared valuation reports for the Board of Assessors--which would be used in further appeals. -	Assumed accountability in providing accounting support--with journal entries of accounts payable, in the absence of the bookkeeper. -	Saved the town over $3K by updating the tax maps in-house. -	Developed an assessor’s website—making it easier for the public to access important tax information (tax cards, assessments, mil rate, and tax maps) through the use of a computer.H&R BLOCK - Caribou, MELevel I Income Tax Preparer/Tax Professional/Bookkeeper	2011–2012-	Demonstrated strong organizational skills while preparing income tax forms for a variety of individuals, sole proprietorships, and small businesses. -	Helped clients make decisions by providing comprehensive responses to their questions regarding the Internal Revenue Code (IRC).-	Established a rapport with clients by assisting them, and recommending future investment strategies; aligned with current practices and tax procedures--resulting in the best tax advantage. -	Ensured that the data on forms were accurate; identifying errors in arithmetic, data entry, and other procedures.-	Applied expertise in the computation of taxes owed and overpaid; as well as the completion of entries on tax forms, further instructions and tax tables.-	Leveraged skills in obtaining additional information on taxable income, deductible expenses, and allowances.NORTHEASTERN UNIVERSITY (CO-OP) - Boston, MAAccounts Payable Liaison 	2008-	Displayed competency in supporting administrative and financial services as well as streamlining the overall accounts payable (A/P) process, which included payments monitoring and processing, and general expenditures valuation. -	Updated all financial accounts, while also ensuring all suppliers were compensated in accordance with terms of agreements. -	Secured and properly maintained the accounts payable list in an accurate and timely manner.-	Established and solidified relationships with vendors and suppliers--guaranteeing accurate payments for all goods and services rendered within a definite timeframe. OTHER EXPERIENCE 	CONNECT NORTH AMERICA - Presque Isle, METelemarketer/Sales Representative | 3rd Party Telemarketer, Verizon Wireless	 2009¬– 2011	STEAKS N’ STUFF-MARKET & DELI - Presque Isle, MECashier/Bagger/General Store Clerk/Stock-Individual	 2009–2010	NORTHEASTERN UNIVERSITY-INTRAMURALS - Boston, MASports Official	2007– 2008	CARIBOU REHAB & NURSING CENTER- Caribou, ME Certified Nursing Assistant Helper | Kitchen Aide 	 2005– 2007	BLACKSTONE FARMS - Caribou, MERock Picker	 2001– 2003","EDUCATION AND CREDENTIALSMASTER OF BUSINESS ADMINISTRATION, 2014 (GPA: 3.89)Husson University, Bangor, MEBACHELOR OF ARTS IN BUSINESS ADMINISTRATION WITH CONCENTRATION IN MANAGEMENT INFORMATION SYSTEMS, 2011University of Maine Presque Isle (UMPI), Presque Isle, MEAccumulated GPA: 3.67 | Graduated magna cum laudeBACHELOR OF ARTS IN ACCOUNTING, 2011University of Maine Presque Isle (UMPI), Presque Isle, MEASSESSOR’S LICENSE, STATE OF MAINECERTIFIED PUBLIC ACCOUNTANT, In Progress ",Financial Strategies and Analysis | Customer Service and Client Relations | Regulatory Compliance and Standards Audit Compliance and Control | Tax Preparation | Account Reconciliation | Risk Management,"ACTIVITIESCaribou Recreation Department Community Service, VolunteerLeased Properties at Northeastern University, PresidentLittle League Umpire-Caribou Little League, VolunteerUniversity of Maine at Presque Isle for the MIS Department, TutorVan Buren Interim Recreation Director, DirectorHOBBIES & INTERESTSports, Video Games, Board Games, Movies, Music, Stocks, Forbes Magazine, Wall Street Journal. "
197,5/23/2014,senior auditor,Accounting,NC,North Carolina,/job/view-resume-72540.html,72540,Full-Time Permanent,Immediately,55000,Yes,"Management (Manager, Director)",,Masters,Yes,"Dynamic, results-driven, and performance-focused professional, offering broad-based experience in accounting and finance; with focus in insurance and risk management, auditing, trend analysis, operational support, and client relations. Equipped with comprehensive knowledge in all aspects of administrative and account management operations, with aptitude in fostering a positive working environment. Frequently tapped for audit structure improvements, compliance auditing resolution, and core analysis of corporate leadership and margins. Commended as a flexible and visionary leader with well-defined multitasking, communication, organizational, problem-solving, and analytical aptitudes.","PROFESSIONAL EXPERIENCEPremium Audit Reviewer | Patriot Insurance, Charlotte, NC | 2013–Present- 	Handle the preparation of written resolutions for the disputes and other related audit issues of all customers.- 	Proficiently research and remain up to date with key changes and current information in the application of concepts to a client’s business process; thus consistently guaranteeing proper risk classification.- 	Work collaboratively with external auditors across various locations in monitoring the alignment of resources with audit initiatives.- 	Initiate in-house auditing, review, and processing of property and casualty customer accounts, accomplishing audit engagements in a timely and accurate manner.- 	Maintain constant coordination with the audit personnel and team members in efficiently achieving audit objectives; as well as overseeing premium audit, claims, and underwriting duties companywide.- 	Leveraged outstanding knowledge of insurance laws, rules, and regulations to complete all audit reviews, which included conducting and processing reviews within the specified timeline requirements.Premium Field Auditor | AIG (American International Group), Charlotte, NC | 2007–2013- 	Carried out various administrative duties, which included expertly developing audit conclusions; providing recommendations to the senior management; performing audit interviews and documentation for risk and control identification; and overseeing audits in key remote areas while maintaining weekly production quotas.- 	Functioned as the appointed lead auditor in implementing telephone audits, as well as risk assessments of business operations and financial reporting processes to proficiently assess potential operational issues.- 	Solely audited commercial books of business, ranging from $750 to $5M, adjusting classifications for the enterprise-wide risk exposure as required for the assigned risk market.- 	Effectively executed cost savings and monitored key expenses in adherence to the internal cost standards; rendered quality customer service; and quickly resolved operational problems through expert recommendations.- 	Achieved and maintained audit goals encompassing timeliness, production, and quality for two consecutive quarters, successfully achieving the following key results:- 	Pay raise and 5% bonus for driving performance improvements as a highly effective auditor- 	Revenue growth for the company, which substantially met bottom line expectations- 	Earned selection by the management to direct and implement the company’s telephone audit program, which significantly cut expenses by approximately 20% annually.Premium Field Auditor | St. Paul Travelers Insurance, Charlotte, NC | 2005–2007- 	Assumed full accountability in strategically implementing daily audit engagements with clients; investigating and resolving material issues from regulatory authorities; and solely verifying journal and ledger entries of check payments, purchases, and expenses to sample and test data.- 	Ensured strict compliance with the National Council on Compensation Insurance (NCCI) guidelines in providing compliance and financial audits for multiple commercial accounts.- 	Presented financial results, claim findings, and trend analysis to all clients, agents, and brokers.- 	Extensively traveled to various client locations to effectively accomplish on-site audits; thus optimizing productivity throughout the company.Field Auditor | Audit Bureau of Circulations, Arlington Heights, IL | 2003–2005- 	Progressively led and evaluated the risk and plan audit program for annual periodical and newspaper circulation audits, in close collaboration with all levels of client management.- 	Coordinated audit findings to the management; and created and implemented alternative testing recommendations in full support of the management’s decision-making initiatives.- 	Proficiently investigated suspected fraudulent claims to identify the nature, severity, and scope of fraud; and performed field investigations and interviews as required.- 	Established a reputation for continuously handling increasing responsibilities by serving as the assigned lead auditor on various projects across Brentwood, Tennessee, as well as Fort Lauderdale and Miami, Florida.","EDUCATIONMaster of Business Administration–General: 2013Winthrop University | Rock Hill, SCBachelor of Science in Business Administration, with Emphasis in Finance: 2001North Carolina Agricultural and Technical State University | Greensboro, NC","CORE COMPETENCIESAudit Engagement and AnalysisRisk ManagementRegulatory Compliance and StandardsBusiness DevelopmentStrategic Consulting and Mentorship	Account ManagementCustomer Service and RelationsRevenue Growth and Development ImpactRapid Conflict ResolutionOrganizational Leadership and Team Building","PROFESSIONAL DEVELOPMENTCertified Internal Auditor (CIA) Certification: In ProgressSarbanes-Oxley Certification: In Progress | Management and Strategy InstituteAssociate in Premium Auditing (APA 91) Certification: 2004TECHNICAL ACUMENMicrosoft Office Suite (Word, Excel, and PowerPoint) | Internet Applications"
198,5/23/2014, clerical/general office,Accounting,CA,California,/job/view-resume-72532.html,72532,Full-Time Permanent,6/1/2014,,Yes,Experienced with over 2 years experience,,High School/Equivalent,No Preference,"Conscientious, personable & energetic Administrative Specialist with over five year of experience that encompasses Loan Processing, Data Specialist, Office Assistant and Process Clerk. Motivated self-starter who’s earned a reputation for being proficient, hardworking and reliable. ","Oak Hill Funeral Home & Memorial Park- San Jose, CA				•	Maintain files, records, tracks informational data on excel spreadsheet •	Communicates well with office staff on general office procedures Organize, scan and file records to corresponding account locations.•	 Keeps updates  and tracks account activities in internal database tracking system•	Use SCI Spendsmart system to enter invoices and purchase order•	Providing clients with information and resolve any issues or concerns that clients may have by providing customer solutions and outstanding customer service skillsOffice Assistant											10/09-08/12	Occupational Training Institute, Cupertino, CA•	Answered and routed telephone calls; answers inquiries from students and directs clients to appropriate resources.•	Collaborated with accountant on specific general ledger related activities to record and account for revenue, expenditures, assets and liabilities. •	Maintained office filing and recordkeeping systems, enters, edits, and retrieves data for department needs.Data Entry Specialist										09/08-10/10E-Tech Silicon Valley, Inc. Santa Clara, CA	•Assisted Graphic Designer with banners and ads.    •Consults with programmers in reviewing and updating data entry documentation and upload to ecommerce database platform.Loan Submission/Processor									10/07-08/08Five Star Mortgage, Inc., Milpitas, CA•	Organized receipt, take photo of listing, office paperwork, and inputs to MLS.•	Removed loan contingencies or extending contingency, send documentation to title companies.•Ordered appraisal, review preliminary title report, and conduct credit bureaus updates.","De Anza Community College, Cupertino, CAA.A. Administrative Assistant/Office Technology June 2010","Operating system: Window, Mac OS Applications: Microsoft Office, HMIS, iiTOP, SCI SpendSmart",
199,5/12/2014,accountant,Accounting,IN,Indiana,/job/view-resume-72418.html,72418,Full-Time Permanent,Immediately,35000,Yes,"Management (Manager, Director)",,Bachelors,No,"Detail-oriented, well-organized, and tenacious professional, offering outstanding knowledge of accounting, gained through successful completion of bachelor’s degree in Accounting. Equipped with outstanding familiarity with operations management, financial analysis, sales, personnel training, and customer service. Skilled at successfully meeting all organizational goals and objectives, with unparalleled work ethic and great multitasking capabilities. Outstanding communicator with strong interpersonal skills; bilingual in English and Spanish. Accustomed to working with individuals of all levels across the organization. Technically proficient with Microsoft Office Suite.","WORK HISTORYRestaurant General Manager | Training Manager - Qdoba Mexican Grill (Qdoba Restaurant Corporation), West Lafayette, IN: July 2013–October 2013Restaurant General Manager | Training Manager - Qdoba Mexican Grill (Aztec Partners), West Lafayette, IN: June 2006–July 2013Director of Children’s Ministry - Riverside Covenant Church, West Lafayette, IN: February 2007–February 2008  Retail Sales Consultant - Cingular Wireless (Currently known as AT&T), Lafayette, IN: October 2003–June 2006Assistant General Manager - Arby’s (RTM Restaurant Group), Lafayette, IN: January 2001–March 2003General Manager - Taco Bell (KirTac Inc.), Lafayette, IN: August 1996–November 2000","EDUCATIONBachelor of Science in Accounting - KRANNERT SCHOOL OF MANAGEMENT, PURDUE UNIVERSITY, WEST LAFAYETTE, IN: 2007Relevant Coursework: Accounting, Marketing, Finance, Organizational Behavior, Statistics, Calculus, Economics, and Computer Science",,"PROFESSIONAL TRAININGServSafe CertifiedServSafe Food Protection Manager Certification (Valid Until: 2018)Certified ServSafe Exam Proctor (Valid Until: 2018)CAREER OVERVIEWFinance/Accounting-	Strategically managed operational and financial targets to meet and exceed budgeted expectations, including guest service results, sales, labor cost and food cost-	Facilitated comprehensive analysis of the profit and loss statements-	Organized and set weekly schedules; and generated weekly and monthly inventory statements-	Managed and processed the payroll of all staff-	Displayed expertise in managing the cash drawer, balancing daily cash inflows and outflows, and preparing daily depositsManagement and Operations-	Demonstrated effectiveness in overseeing a high-volume restaurant, which was considered as the third busiest store in Indiana; successfully maintained corporate inspections scores of 90% or higher, thereby placing in the top 10% of the company-	Assisted in the opening of other restaurant locations Training and Personnel Management-	Took charge of staff recruitment and terminations for the entire facility along with personnel orientation and training -	Achieved low turnover for employees and functioned effectively as the training manager, responsible for training general managers for other locationsCustomer Service and Relations-	Ensured provision of exceptional customer service to all guests-	Established and strengthened relationships with various people and organizations to yield sales-	Achieved an outstanding customer survey results for demonstrating exceptional customer service Career Accomplishments:-	Successfully achieved sales improvement over the previous year’s sales for seven years in a row-	Exhibited adeptness in creating quarterly “action plans” for the accomplishment of both individual and store-wide goals-	Earned recognition as one of the “Top 10 Sales Representative” for Indiana for two consecutive quarters in 2005-	Accomplished 122% of commission goals for 2005 and 151% on year-to-date for 2006-	Received an award of commendation in 2002 for revising and executing various training programs for new hires-	Played an integral role in achieving and surpassing all monthly sales quotas for wireless phones, services, and accessories"
200,5/6/2014,compliance auditor,Accounting,FL,Florida,/job/view-resume-72354.html,72354,Full-Time Permanent,5/21/2014,40000,Yes,New Grad/Entry Level,"Yes, More Than 75%",Bachelors,Yes,"My goals are to obtain the necessary experience and skills to achieve the CIA, CFE, and CPA designations.","Sept 2013 – Present	Florida Department of Health	Tallahassee, FLRegulatory SpecialistAnswer incoming calls and provide assistance to customersAssisted health practitioners with licensing inquiries & information	Worked with statutory complianceAdministrative dutiesJan 2012 – Sept 2013	Florida Department of State	Tallahassee, FLClerk IAnswer incoming calls and provide assistance to customersAssisted businesses with corporate, LLC, and fictitious name filingsFielded in excess of 20,000 calls and worked with statutory complianceReceived 4 customer service awardsJune 2008 – February 2010	Hospice of Citrus County	Lecanto, FLIT Support TechnicianHelp Desk supporting 200-400 users with IT related  issuesInstallation/troubleshooting of desktop pc’s, laptops, and thin clientsDistribution and maintenance of clinical databases and cell phonesJune 2007 – February 2010	Sears Holdings Corporation	Crystal River, FLOffice Associate/Certified Asset ProtectionIncreased efficiency of filing system by 300%Managed record keeping, cash accounting, and office proceduresAlso performed Loss Prevention duties such as shrinkage reporting and audits","2012-2014 Flagler College	  •  Bachelor’s Degree in Accounting2010-2012                               Tallahassee Community College                     • Associate’s Degree","I have extensive experience with Microsoft Word, Excel, Powerpoint as well as some experience with Microsoft Visio and Access. In addition I am experienced with Quick Books and can learn virtually any software or processes quickly and have an affinity for troubleshooting problems.",
201,4/28/2014,forensic accountant/payroll accountant,Accounting,IL,Illinois,/job/view-resume-72279.html,72279,Full-Time Permanent,Immediately,50000,Yes,Experienced with over 2 years experience,,Masters,No,"Focused, dynamic, and dedicated professional with substantial experience in accounting, general administration, and research. Recognized for unparalleled work ethic and organizational skills necessary in handling multiple tasks and priorities under challenging and fast-paced environments. Empowered with analytical problem-solving aptitude to formulate strategic solutions to provide dramatic improvements in business efficiency and productivity. Adept at managing group dynamics, as well as in leading and motivating high-caliber teams of professionals. Equipped with articulate communication abilities and a naturally personable attitude to build positive work relations with diverse individuals. Fluency in English, Slovakian, Czech, and Polish, with working knowledge of German. Proficient with Microsoft Office Suite, QuickBooks, Thompson Reuters, Accounting CS Payroll, File Cabinet, and Remote Payroll Printing.","PROFESSIONAL EXPERIENCEAccountant, 2011–Present	STE Corporation - Lockport, IL-	Play a contributing role on the transfer, configuration and set up of approximately 400 payroll companies from a legacy payroll software to Thompson Reuters-	Investigate remote payroll printing processes to setup and educate clients-	Perform ACS technical research, examination, and application to current payroll companies, particularly on state and unemployment registrations and requirements for Florida, Indiana, New Jersey, New York, and Texas -	Conduct QuickBooks-related topic investigations to develop and streamline electronic depositing-	Efficiently manage client payments, billing, account reconciliation, information update, balance due statement correspondences, and depositing-	Take charge of handling billing; receiving payments; reconciling e-checks; processing returned payments; creating QuickBooks journal entries; and making financial adjustments at the end of the year -	Seamlessly prepare and process W2, W3, 1099, and 1096 forms-	Expertly handle irregular and monthly payroll for 80 accounts, and assist with the preparation and processing of more than 300 payroll accounts as needed-	Identify health insurance liability for various periods; manage fringe benefits payments for union workers-	Exhibit superior talents in resolving client payroll notices (Internal Revenue Service, IL, and unemployment), as well as providing consultative business solutions on payroll requirements-	Showcase aptitude in managing, preparing, calculating, and analyzing payroll reports, as well as in managing state and federal withholding deposits-	Proficiently process, prepare, and manage payroll reporting for various forms, including 941, 940, IL 941, and UI 3/40-	Organize worker’s compensation audits for various clientsIRS Certified Volunteer Tax Preparer (Internship), 2011	Robert Morris University - Orland Park, IL-	Delivered accounting expertise in managing individual tax returns while supporting compliance and tax deadlines-	Demonstrated strong operating knowledge of various accounting applications, as well as comprehensive understanding of IRS policies and guidelines-	Earned the Certificate of Appreciation from IRS by serving as volunteer income tax assistant (VITA)Administrative Assistant, 2009–2010	MidAmerica Bancorp - Hickory Hills, IL-	Exemplified keen expertise in the preparation of loan packages prior to delivery to bank investors and after submission of complete applications to loan officers-	Strengthened communication skills and knowledge of corporate culture related to the development of opportunities for new business growth-	Made impactful contributions in bookkeeping and billing operations, as well as in a major project valued at $90M","EDUCATION AND CREDENTIALSMaster of Science in Accounting and Financial Management, With Forensic Accounting ConcentrationExpected Completion Date: Month YearDEVRY UNIVERSITY - TINLEY PARK, ILBachelor of Business Administration in Accounting, 2011ROBERT MORRIS UNIVERSITY - ORLAND PARK, IL | Dean’s ListBasic, Intermediate and Advanced Tax Certifications",AREAS OF EXPERTISEAccounting and Taxation ~ Payroll Financial Reporting ~ Bookkeeping and General Administration ~ Regulatory ComplianceClient Relations and Customer Service ~ Strategic Financial Analysis ~ Bank Statement Reconciliation ~ Tax Return Preparation,TRAININGH&R Block course for Individual Taxation ~ Payroll Ethics in 2013
202,3/31/2014,accounts payable,Accounting,MN,Minnesota,/job/view-resume-72013.html,72013,Full-Time Permanent,"April 7th, 2014","$35,000",Yes,Experienced with over 2 years experience,"Yes, 25-50%",High School/Equivalent,No,To work for a leading organization.,"10 key, 3 way po matching, non po's, expence invoices, data entry,pre-imaging invoices, excel, word outlook.Experience in Oracle, Erp systems.Experience in check runs.",,,
203,3/31/2014,accounts payable,Accounting,MN,Minnesota,/job/view-resume-72012.html,72012,Full-Time Permanent,,,Yes,Experienced with over 2 years experience,,Unspecified,No,To work for a leading organization.,"10 key, 3 way po matching, non po's, expence invoices, data entry,pre-imaging invoices, excel, word outlook.Experience in Oracle, Erp systems.Experience in check runs.",,,
204,3/23/2014,payables clerk,Accounting,CA,California,/job/view-resume-71929.html,71929,Full-Time Permanent,now,17.00 Hr,Yes,Experienced with over 2 years experience,"Yes, Less Than 25%",Certificate,No,To use my Payables skills in an office and work as a team player with other employees toget the job done.,"I have been in Accounting since 1989.I did some posting of invoices from 2000 to 2006 I put accounting on Invoices and posted into Accounting at Bronk Vreeland Ojai Ford.I also worked two years from Dec 2011 until laid off Feb 2014 in payables.Matched packing slips to Invoices,posted invoices and paid the invoices.Posted credit card statements",Assistant Accounting Certification Sawyer College.1988  GED Ventura Adult ED 1988Worked two years with Quickbooks 2011 to 2014,"I have aquired the skills through the years to handle angry customers who want the owner.I let them talk calm them down repeat what they say and go to work fixing their problem.I can copy,scan,fax,answer phones,wait on customers,work on computer,I use word and some experience in Excel.","I worked in car dealerships for 18 years working several positions DMV desk,posting car deals into accounting,entering new and used vehicles into accounting,prepared titles for whole sale of trade vehicles,pay all bills associated with customers purchase of vehicle"
205,3/21/2014,accountant,Accounting,CA,California,/job/view-resume-71921.html,71921,Full-Time Permanent,,,,New Grad/Entry Level,,Masters,,"Develop, interpret and implement financial cost accounting concepts for financial planning, budgeting, and general ledger application. Perform budget and forecast project variance analysis. Analyze financial information and prepare financial reports to determine or maintain record of assets, liabilities, profit and loss, and tax liability. Design and implement effective management information and control system.",,"The position requires a master’s degree in Accounting, Business, or related fields.",,"Jung Woo Kim CPA Inc.6481 Orangethorpe Ave. Ste 26Buena Park, CA 90620"
